Date,City,temp_max,temp_min,precipitation,wind_speed
2018-04-24,Delhi,37.8,21.5,0.0,19.7
2018-04-25,Delhi,40.3,22.9,0.0,15.4
2018-04-26,Delhi,41.2,23.8,0.0,13.7
2018-04-27,Delhi,38.6,25.7,1.2,19.2
2018-04-28,Delhi,38.6,25.4,0.9,21.5
2018-04-29,Delhi,38.5,23.4,0.4,26.7
2018-04-30,Delhi,38.9,24.1,0.7,18.1
2018-05-01,Delhi,37.5,24.4,10.5,25.9
2018-05-02,Delhi,36.7,23.4,5.9,28.7
2018-05-03,Delhi,34.8,23.4,0.0,23.3
2018-05-04,Delhi,34.5,24.4,0.0,24.1
2018-05-05,Delhi,37.0,24.2,0.0,16.1
2018-05-06,Delhi,38.2,25.5,0.0,19.3
2018-05-07,Delhi,37.2,23.5,0.0,20.5
2018-05-08,Delhi,33.8,22.9,3.5,18.1
2018-05-09,Delhi,35.4,20.8,2.2,21.7
2018-05-10,Delhi,37.6,22.0,0.0,14.8
2018-05-11,Delhi,40.0,24.3,0.0,15.5
2018-05-12,Delhi,40.1,27.0,1.1,30.2
2018-05-13,Delhi,36.5,24.9,3.8,29.4
2018-05-14,Delhi,36.8,22.7,0.0,13.1
2018-05-15,Delhi,37.5,24.7,0.0,14.4
2018-05-16,Delhi,38.9,25.0,0.4,20.5
2018-05-17,Delhi,40.4,25.4,0.0,18.6
2018-05-18,Delhi,39.5,26.5,0.0,9.7
2018-05-19,Delhi,39.2,25.5,1.5,16.1
2018-05-20,Delhi,40.0,25.7,0.0,14.7
2018-05-21,Delhi,40.8,26.0,0.0,16.2
2018-05-22,Delhi,42.7,28.0,0.0,15.9
2018-05-23,Delhi,42.0,28.2,0.1,22.9
2018-05-24,Delhi,41.6,27.5,0.0,14.6
2018-05-25,Delhi,42.1,25.9,0.0,16.9
2018-05-26,Delhi,42.9,27.0,0.0,13.4
2018-05-27,Delhi,43.0,26.9,0.0,16.6
2018-05-28,Delhi,41.9,27.0,0.0,14.1
2018-05-29,Delhi,41.7,27.5,0.0,19.8
2018-05-30,Delhi,40.3,27.1,0.7,27.2
2018-05-31,Delhi,41.5,27.1,0.0,18.4
2018-06-01,Delhi,41.2,29.1,4.8,27.9
2018-06-02,Delhi,39.3,27.0,0.0,20.5
2018-06-03,Delhi,37.3,28.1,0.0,18.5
2018-06-04,Delhi,40.5,29.6,0.0,21.8
2018-06-05,Delhi,39.7,30.9,0.7,24.6
2018-06-06,Delhi,38.2,29.0,0.8,21.3
2018-06-07,Delhi,39.5,28.4,0.0,17.1
2018-06-08,Delhi,39.8,30.8,0.0,22.7
2018-06-09,Delhi,37.2,27.3,15.2,22.0
2018-06-10,Delhi,36.0,26.4,1.9,11.4
2018-06-11,Delhi,39.3,28.0,0.0,19.2
2018-06-12,Delhi,41.8,28.5,0.0,23.4
2018-06-13,Delhi,40.5,31.8,0.0,25.8
2018-06-14,Delhi,40.3,31.2,0.0,27.3
2018-06-15,Delhi,38.9,32.0,0.0,28.7
2018-06-16,Delhi,39.3,31.2,0.0,21.1
2018-06-17,Delhi,35.7,28.5,0.2,18.1
2018-06-18,Delhi,35.9,26.8,0.6,16.1
2018-06-19,Delhi,38.6,26.2,0.0,16.6
2018-06-20,Delhi,40.0,28.9,0.0,12.9
2018-06-21,Delhi,40.7,29.8,0.0,14.1
2018-06-22,Delhi,41.7,31.9,0.0,17.3
2018-06-23,Delhi,40.7,30.8,0.0,21.3
2018-06-24,Delhi,40.5,30.6,0.0,15.7
2018-06-25,Delhi,40.8,31.1,0.0,18.2
2018-06-26,Delhi,36.2,29.3,1.8,18.1
2018-06-27,Delhi,34.2,25.5,29.8,14.8
2018-06-28,Delhi,33.3,25.5,12.6,23.4
2018-06-29,Delhi,33.2,25.8,4.3,26.0
2018-06-30,Delhi,33.0,26.5,4.9,15.9
2018-07-01,Delhi,34.0,27.6,4.7,17.6
2018-07-02,Delhi,35.0,25.4,15.2,20.5
2018-07-03,Delhi,33.7,28.4,0.7,13.1
2018-07-04,Delhi,32.5,27.1,4.8,16.6
